	Company	Domain	Verification	From_Google
0	Twenty-First Century Fox, Inc.	21cf.com	True	https://www.21cf.com/
1	American Express	americanexpress.com	True	 
2	paypal	paypal.com	True	 
3	Microsoft	microsoft.com	True	 
4	Hitachi	hitachi.com	True	 
5	Toshiba	thoshiba.com	True	 
6	washington post		None	https://digiday.com/media/washington-post-starting-channel-amazon-owned-twitch/
7	Alibaba	alibaba.com	True	 
8	Blender	blender.com	True	 
9	Intel		None	https://www.barrons.com/articles/micron-and-intel-part-ways-and-micron-bulls-love-it-1531853118
10	Wordpress		None	https://wordpress.com/
